Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
1881	11.35	15978.46	55.05	***	16044.86	80.22	***	1772	5333.72	13105	65.53
1882	10.79	15894.77	51.43	***	15956.99	79.78	***	1773	5336.73	13036	65.18
1883	8.76	15911.91	47.38	***	15968.05	79.84	***	1774	5339.74	13036	65.18
1884	7.56	16068.52	51.63	***	16127.71	80.64	***	1775	5342.75	13174	65.87
1885	9.77	16147.85	55.27	***	16212.89	81.06	***	1776	5345.76	13231	66.16
1886	11.1	16165.07	50.81	***	16226.98	81.13	***	1777	5348.77	13251	66.25
1887	8.48	16139.32	52.94	***	16200.74	81.0	***	1778	5351.78	13230	66.15
1888	8.3	16169.37	52.46	***	16230.13	81.15	***	1779	5354.79	13250	66.25
1889	9.25	16109.99	48.49	***	16167.73	80.84	***	1780	5357.8	13199	66.0
1890	7.4	16064.26	44.41	***	16116.07	80.58	***	1781	5360.81	13151	65.75
1891	10.77	16091.48	57.59	***	16159.84	80.8	***	1782	5363.82	13201	66.0
1892	11.29	16113.55	60.54	***	16185.38	80.93	***	1783	5366.83	13223	66.11
1893	9.8	16104.98	56.29	***	16171.07	80.86	***	1784	5369.84	13202	66.01
1894	8.69	16109.29	52.1	***	16170.08	80.85	***	1785	5372.85	13210	66.05
1895	9.57	16078.53	51.85	***	16139.95	80.7	***	1786	5375.86	13178	65.89
1896	9.88	16045.65	53.15	***	16108.68	80.54	***	1787	5378.87	13157	65.78
1897	10.92	16069.95	55.86	***	16136.73	80.68	***	1788	5381.88	13183	65.92
1898	10.45	16024.96	56.05	***	16091.46	80.46	***	1789	5384.89	13140	65.7
1899	9.08	15946.34	51.41	***	16006.83	80.03	***	1790	5387.9	13070	65.35
1900	7.83	15884.78	50.6	***	15943.21	79.72	***	1791	5390.91	13015	65.08
1901	7.34	15851.9	42.08	***	15901.32	79.51	***	1792	5393.92	12978	64.89
1902	5.93	15827.65	43.17	***	15876.75	79.38	***	1793	5396.93	12955	64.78
1903	7.18	15824.68	46.56	***	15878.42	79.39	***	1794	5399.94	12967	64.83
1904	7.66	15809.69	47.56	***	15864.91	79.32	***	1795	5402.95	12949	64.75
1905	7.18	15796.78	47.17	***	15851.13	79.26	***	1796	5405.96	12940	64.7
1906	8.4	15821.11	50.56	***	15880.07	79.4	***	1797	5408.97	12972	64.86
1907	11.17	15798.21	53.53	***	15862.91	79.31	***	1798	5411.98	12957	64.78
1908	11.2	15733.82	55.08	***	15800.1	79.0	***	1799	5414.99	12907	64.53
1909	10.19	15739.58	53.56	***	15803.33	79.02	***	1800	5418.0	12907	64.53
1910	8.57	15679.49	51.37	***	15739.43	78.7	***	1801	5421.01	12847	64.23
1911	8.34	15638.0	44.85	***	15691.19	78.46	***	1802	5424.02	12805	64.03
1912	9.71	15646.52	49.9	***	15706.13	78.53	***	1803	5427.03	12816	64.08
1913	9.91	15689.5	50.98	***	15750.39	78.75	***	1804	5430.04	12849	64.25
1914	9.65	15675.21	45.02	***	15729.88	78.65	***	1805	5433.05	12834	64.17
1915	7.99	15664.39	45.91	***	15718.29	78.59	***	1806	5436.06	12826	64.13
1916	10.55	15650.17	53.79	***	15714.51	78.57	***	1807	5439.07	12836	64.18
1917	10.65	15639.45	56.51	***	15706.61	78.53	***	1808	5442.08	12828	64.14
1918	9.84	15617.23	51.39	***	15678.46	78.39	***	1809	5445.09	12796	63.98
1919	7.29	15616.62	44.63	***	15668.54	78.34	***	1810	5448.1	12780	63.9
1920	6.91	15565.72	41.87	***	15614.5	78.07	***	1811	5451.11	12743	63.72
1921	8.32	15497.84	42.71	***	15548.87	77.74	***	1812	5454.12	12687	63.44
1922	8.19	15479.86	47.59	***	15535.64	77.68	***	1813	5457.13	12687	63.44
1923	7.68	15506.35	45.72	***	15559.75	77.8	***	1814	5460.14	12699	63.49
1924	6.65	15458.48	44.64	***	15509.77	77.55	***	1815	5463.15	12650	63.25
1925	9.37	15421.96	51.18	***	15482.51	77.41	***	1816	5466.16	12642	63.21
1926	9.85	15374.76	55.47	***	15440.08	77.2	***	1817	5469.17	12612	63.06
1927	8.54	15332.54	54.59	***	15395.67	76.98	***	1818	5472.18	12579	62.9
1928	7.1	15281.81	53.78	***	15342.69	76.71	***	1819	5475.19	12533	62.66
1929	7.62	15306.81	50.56	***	15364.99	76.82	***	1820	5478.2	12549	62.74
1930	6.91	15326.08	52.51	***	15385.5	76.93	***	1821	5481.21	12574	62.87
1931	6.54	15348.28	50.58	***	15405.4	77.03	***	1822	5484.22	12595	62.98
1932	6.32	15335.47	52.76	***	15394.55	76.97	***	1823	5487.23	12580	62.9
1933	5.44	15357.6	44.63	***	15407.67	77.04	***	1824	5490.24	12589	62.95
1934	4.27	15313.23	40.82	***	15358.32	76.79	***	1825	5493.25	12537	62.69
1935	4.29	15233.14	39.97	***	15277.4	76.39	***	1826	5496.26	12475	62.38
1936	6.59	15275.36	52.1	***	15334.05	76.67	***	1827	5499.27	12529	62.65
1937	6.51	15351.15	52.25	***	15409.91	77.05	***	1828	5502.28	12586	62.93
1938	6.2	15269.65	49.78	***	15325.63	76.63	***	1829	5505.29	12520	62.6
1939	6.21	15221.7	48.44	***	15276.35	76.38	***	1830	5508.3	12472	62.36
1940	7.51	15265.36	55.46	***	15328.33	76.64	***	1831	5511.31	12523	62.62
1941	6.79	15248.88	55.26	***	15310.93	76.55	***	1832	5514.32	12510	62.55
1942	7.03	15179.53	55.85	***	15242.41	76.21	***	1833	5517.33	12454	62.27
1943	3.97	15097.98	48.25	***	15150.2	75.75	***	1834	5520.34	12373	61.87
1944	6.17	15094.39	53.58	***	15154.14	75.77	***	1835	5523.35	12370	61.85
1945	8.06	15098.67	60.82	***	15167.55	75.84	***	1836	5526.36	12393	61.97
1946	7.61	15100.82	56.94	***	15165.37	75.83	***	1837	5529.37	12391	61.95
1947	6.95	15091.54	53.37	***	15151.86	75.76	***	1838	5532.38	12370	61.85
1948	6.81	15051.39	53.16	***	15111.36	75.56	***	1839	5535.39	12343	61.72
1949	8.53	15084.39	55.48	***	15148.4	75.74	***	1840	5538.4	12383	61.91
1950	8.55	15095.06	54.6	***	15158.21	75.79	***	1841	5541.41	12385	61.92
1951	7.12	15042.17	52.27	***	15101.56	75.51	***	1842	5544.42	12338	61.69
1952	9.15	14974.15	59.75	***	15043.05	75.22	***	1843	5547.43	12296	61.48
1953	10.11	14887.61	58.21	***	14955.93	74.78	***	1844	5550.44	12229	61.15
1954	10.79	14882.57	60.14	***	14953.5	74.77	***	1845	5553.45	12223	61.12
1955	8.66	14859.02	59.5	***	14927.18	74.64	***	1846	5556.46	12203	61.02
1956	7.85	14730.99	53.92	***	14792.76	73.96	***	1847	5559.47	12090	60.45
1957	8.09	14648.78	52.48	***	14709.35	73.55	***	1848	5562.48	12020	60.1
1958	8.37	14653.05	55.68	***	14717.1	73.59	***	1849	5565.49	12027	60.13
1959	7.75	14595.81	54.18	***	14657.74	73.29	***	1850	5568.5	11970	59.85
1960	6.62	14551.49	49.57	***	14607.68	73.04	***	1851	5571.51	11930	59.65
1961	7.61	14553.58	52.09	***	14613.28	73.07	***	1852	5574.52	11938	59.69
1962	9.86	14480.7	60.55	***	14551.11	72.76	***	1853	5577.53	11894	59.47
1963	9.36	14397.69	58.43	***	14465.48	72.33	***	1854	5580.54	11827	59.13
1964	8.52	14385.6	56.13	***	14450.25	72.25	***	1855	5583.55	11810	59.05
1965	10.62	14371.35	59.95	***	14441.92	72.21	***	1856	5586.56	11803	59.02
1966	10.92	14292.63	59.26	***	14362.81	71.81	***	1857	5589.57	11738	58.69
1967	10.44	14258.28	59.47	***	14328.19	71.64	***	1858	5592.58	11708	58.54
1968	11.48	14153.15	58.65	***	14223.28	71.12	***	1859	5595.59	11619	58.09
1969	11.14	14056.57	56.91	***	14124.62	70.62	***	1860	5598.6	11545	57.73
1970	10.77	14053.04	54.86	***	14118.67	70.59	***	1861	5601.61	11535	57.67
1971	10.6	14006.58	53.16	***	14070.34	70.35	***	1862	5604.62	11488	57.44
1972	11.14	13972.88	54.86	***	14038.88	70.19	***	1863	5607.63	11476	57.38
1973	9.58	13956.46	55.85	***	14021.89	70.11	***	1864	5610.64	11456	57.28
1974	8.48	13875.67	53.16	***	13937.31	69.69	***	1865	5613.65	11387	56.94
1975	8.6	13758.36	54.19	***	13821.15	69.11	***	1866	5616.66	11289	56.45
1976	9.65	13679.74	54.83	***	13744.22	68.72	***	1867	5619.67	11226	56.13
1977	8.63	13674.73	52.5	***	13735.86	68.68	***	1868	5622.68	11223	56.12
1978	7.93	13628.96	48.26	***	13685.15	68.43	***	1869	5625.69	11172	55.86
1979	7.57	13523.14	47.63	***	13578.34	67.89	***	1870	5628.7	11090	55.45
1980	8.21	13378.58	49.94	***	13436.73	67.18	***	1871	5631.71	10971	54.85
1981	10.61	13319.98	54.22	***	13384.81	66.92	***	1872	5634.72	10932	54.66
1982	9.63	13337.1	57.8	***	13404.53	67.02	***	1873	5637.73	10950	54.75
1983	8.77	13309.25	55.01	***	13373.03	66.87	***	1874	5640.74	10919	54.59
1984	9.5	13199.13	52.25	***	13260.88	66.3	***	1875	5643.75	10824	54.12
1985	9.97	13124.0	53.38	***	13187.35	65.94	***	1876	5646.76	10772	53.86
1986	10.71	13090.3	56.14	***	13157.15	65.79	***	1877	5649.77	10745	53.73
1987	10.96	13016.01	58.91	***	13085.88	65.43	***	1878	5652.78	10693	53.47
1988	9.54	12905.79	52.77	***	12968.1	64.84	***	1879	5655.79	10586	52.93
1989	8.42	12842.26	45.91	***	12896.59	64.48	***	1880	5658.8	10519	52.59
1990	10.43	12848.68	51.88	***	12910.99	64.55	***	1881	5661.81	10537	52.69
1991	10.56	12746.35	54.26	***	12811.17	64.06	***	1882	5664.82	10449	52.24
1992	10.71	12612.65	50.21	***	12673.57	63.37	***	1883	5667.83	10329	51.65
1993	10.78	12629.03	51.05	***	12690.86	63.45	***	1884	5670.84	10355	51.77
1994	11.63	12621.21	55.04	***	12687.88	63.44	***	1885	5673.85	10354	51.77
1995	12.6	12568.9	61.45	***	12642.95	63.21	***	1886	5676.86	10321	51.6
1996	13.02	12498.15	60.2	***	12571.37	62.86	***	1887	5679.87	10260	51.3
1997	11.7	12416.61	53.75	***	12482.06	62.41	***	1888	5682.88	10186	50.93
1998	8.99	12375.17	49.37	***	12433.53	62.17	***	1889	5685.89	10137	50.69
1999	9.13	12322.22	49.97	***	12381.32	61.91	***	1890	5688.9	10093	50.47
2000	9.67	12277.17	51.89	***	12338.73	61.69	***	1891	5691.91	10059	50.3
2001	10.06	12252.83	50.62	***	12313.51	61.57	***	1892	5694.92	10039	50.2
2002	10.15	12199.94	52.95	***	12263.04	61.32	***	1893	5697.93	10002	50.01
2003	11.64	12149.12	55.93	***	12216.69	61.08	***	1894	5700.94	9967	49.84
2004	9.45	12066.93	53.55	***	12129.93	60.65	***	1895	5703.95	9891	49.45
2005	8.12	12017.53	47.19	***	12072.84	60.36	***	1896	5706.96	9840	49.2
2006	8.21	11987.52	53.15	***	12048.88	60.24	***	1897	5709.97	9820	49.1
2007	8.9	12009.66	53.83	***	12072.39	60.36	***	1898	5712.98	9840	49.2
2008	9.8	11931.68	55.88	***	11997.36	59.99	***	1899	5715.99	9779	48.9
2009	9.92	11810.89	55.48	***	11876.29	59.38	***	1900	5719.0	9685	48.42
2010	10.78	11775.03	58.27	***	11844.08	59.22	***	1901	5722.01	9666	48.33
2011	10.1	11754.38	59.07	***	11823.55	59.12	***	1902	5725.02	9645	48.23
2012	9.56	11677.14	54.2	***	11740.9	58.7	***	1903	5728.03	9568	47.84
2013	9.03	11602.74	52.98	***	11664.75	58.32	***	1904	5731.04	9505	47.52
2014	7.77	11540.57	52.47	***	11600.81	58.0	***	1905	5734.05	9450	47.25
2015	9.8	11484.02	55.88	***	11549.7	57.75	***	1906	5737.06	9409	47.05
2016	10.75	11383.27	60.54	***	11454.56	57.27	***	1907	5740.07	9335	46.67
2017	10.37	11325.27	64.61	***	11400.25	57.0	***	1908	5743.08	9294	46.47
2018	9.02	11268.82	66.32	***	11344.16	56.72	***	1909	5746.09	9251	46.26
