Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
2170	14.27	51.06	4009.13	***	4074.46	20.37	***	2064	6253.92	5631	28.16
2171	15.2	48.22	3997.83	***	4061.25	20.31	***	2065	6256.95	5611	28.05
2172	14.06	41.7	3985.43	***	4041.19	20.21	***	2066	6259.98	5583	27.91
2173	16.57	47.42	3979.8	***	4043.79	20.22	***	2067	6263.01	5585	27.93
2174	16.27	38.8	3958.11	***	4013.18	20.07	***	2068	6266.04	5545	27.73
2175	15.42	40.28	3939.28	***	3994.98	19.97	***	2069	6269.07	5528	27.64
2176	14.14	28.76	3915.62	***	3958.52	19.79	***	2070	6272.1	5474	27.37
2177	15.44	48.87	3890.0	***	3954.31	19.77	***	2071	6275.13	5462	27.31
2178	16.33	40.98	3873.16	***	3930.47	19.65	***	2072	6278.16	5434	27.17
2179	18.49	38.79	3855.76	***	3913.04	19.57	***	2073	6281.19	5413	27.07
2180	17.75	31.65	3836.91	***	3886.31	19.43	***	2074	6284.22	5377	26.89
2181	16.52	35.22	3821.38	***	3873.12	19.37	***	2075	6287.25	5354	26.77
2182	15.04	42.42	3814.75	***	3872.21	19.36	***	2076	6290.28	5350	26.75
2183	16.58	33.78	3819.21	***	3869.57	19.35	***	2077	6293.31	5348	26.74
2184	17.76	46.71	3804.64	***	3869.11	19.35	***	2078	6296.34	5338	26.69
2185	15.76	34.48	3793.99	***	3844.23	19.22	***	2079	6299.37	5320	26.6
2186	15.35	35.23	3773.57	***	3824.15	19.12	***	2080	6302.4	5282	26.41
2187	17.19	33.77	3771.29	***	3822.25	19.11	***	2081	6305.43	5280	26.4
2188	18.39	48.84	3759.11	***	3826.34	19.13	***	2082	6308.46	5280	26.4
2189	18.9	31.6	3763.37	***	3813.87	19.07	***	2083	6311.49	5274	26.37
2190	19.64	38.81	3759.79	***	3818.24	19.09	***	2084	6314.52	5271	26.36
2191	19.88	35.95	3760.23	***	3816.06	19.08	***	2085	6317.55	5278	26.39
2192	20.23	36.64	3740.23	***	3797.1	18.99	***	2086	6320.58	5241	26.2
2193	17.65	39.5	3729.95	***	3787.1	18.94	***	2087	6323.61	5237	26.18
2194	17.81	35.92	3727.04	***	3780.77	18.9	***	2088	6326.64	5222	26.11
2195	20.21	39.51	3744.4	***	3804.12	19.02	***	2089	6329.67	5250	26.25
2196	20.69	54.58	3743.01	***	3818.28	19.09	***	2090	6332.7	5256	26.28
2197	19.59	41.68	3724.72	***	3785.99	18.93	***	2091	6335.73	5223	26.11
2198	16.79	48.12	3690.05	***	3754.96	18.77	***	2092	6338.76	5174	25.87
2199	19.88	56.01	3710.65	***	3786.54	18.93	***	2093	6341.79	5219	26.09
2200	24.29	43.86	3713.35	***	3781.5	18.91	***	2094	6344.82	5220	26.1
2201	22.1	53.19	3697.03	***	3772.32	18.86	***	2095	6347.85	5202	26.01
2202	22.22	49.63	3686.01	***	3757.86	18.79	***	2096	6350.88	5183	25.91
2203	18.16	40.97	3667.27	***	3726.4	18.63	***	2097	6353.91	5141	25.7
2204	19.18	35.25	3648.92	***	3703.35	18.52	***	2098	6356.94	5109	25.55
2205	18.36	32.38	3649.53	***	3700.27	18.5	***	2099	6359.97	5102	25.51
2206	18.69	34.5	3638.55	***	3691.74	18.46	***	2100	6363.0	5098	25.49
2207	19.58	37.38	3604.01	***	3660.97	18.3	***	2101	6366.03	5057	25.29
2208	22.47	46.71	3599.83	***	3669.01	18.35	***	2102	6369.06	5063	25.32
2209	23.28	51.0	3603.24	***	3677.52	18.39	***	2103	6372.09	5068	25.34
2210	22.64	46.68	3572.04	***	3641.36	18.21	***	2104	6375.12	5019	25.09
2211	24.77	64.6	3563.24	***	3652.61	18.26	***	2105	6378.15	5029	25.14
2212	27.91	57.43	3563.23	***	3648.57	18.24	***	2106	6381.18	5033	25.16
2213	22.29	45.27	3531.55	***	3599.11	18.0	***	2107	6384.21	4961	24.8
2214	23.33	49.59	3521.53	***	3594.45	17.97	***	2108	6387.24	4957	24.79
2215	29.42	50.27	3539.38	***	3619.07	18.1	***	2109	6390.27	5000	25.0
2216	28.34	52.4	3517.24	***	3597.98	17.99	***	2110	6393.3	4962	24.81
2217	26.09	48.84	3488.95	***	3563.88	17.82	***	2111	6396.33	4922	24.61
2218	25.74	35.96	3485.66	***	3547.36	17.74	***	2112	6399.36	4914	24.57
2219	31.52	29.49	3479.66	***	3540.67	17.7	***	2113	6402.39	4904	24.52
2220	31.52	43.15	3462.01	***	3536.68	17.68	***	2114	6405.42	4892	24.46
2221	29.4	43.83	3429.07	***	3502.3	17.51	***	2115	6408.45	4831	24.16
2222	28.23	45.31	3411.41	***	3484.95	17.42	***	2116	6411.48	4805	24.02
2223	35.02	35.24	3424.57	***	3494.83	17.47	***	2117	6414.51	4844	24.22
2224	34.69	38.83	3419.73	***	3493.25	17.47	***	2118	6417.54	4831	24.16
2225	32.57	48.17	3395.67	***	3476.41	17.38	***	2119	6420.57	4800	24.0
2226	33.34	47.4	3400.15	***	3480.89	17.4	***	2120	6423.6	4803	24.02
